test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
A1BG	A1BG	-	chr19:58858171-58874214	undifferentiated	differentiated	OK	3.06045	4.89207	0.676701	-1.23604	0.216443	0.356885	no
A1BG-AS1	A1BG-AS1	-	chr19:58858171-58874214	undifferentiated	differentiated	NOTEST	0.284778	0.336391	0.240303	-0.154764	0.877007	1	no
A1CF	A1CF	-	chr10:52559168-52645435	undifferentiated	differentiated	NOTEST	0.00442952	0.0501627	3.50139	-0.924058	0.355456	1	no
A2LD1	A2LD1	-	chr13:100741268-101241046	undifferentiated	differentiated	OK	1.11536	0.786125	-0.504684	0.521267	0.602181	0.730219	no
A2M	A2M	-	chr12:9217772-9268558	undifferentiated	differentiated	NOTEST	0.0355901	0.0025796	-3.78626	0.848598	0.396105	1	no
A2M-AS1	A2M-AS1	-	chr12:9217772-9268558	undifferentiated	differentiated	NOTEST	0.15466	0.0872063	-0.826596	0.544133	0.58635	1	no
A2ML1	A2ML1	-	chr12:8975149-9029381	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
A2MP1	A2MP1	-	chr12:9381128-9386803	undifferentiated	differentiated	NOTEST	0	0.0971037	1.79769e+308	1.79769e+308	0.10868	1	no
A4GALT	A4GALT	-	chr22:43088126-43116876	undifferentiated	differentiated	NOTEST	0	0.0073202	1.79769e+308	1.79769e+308	0.264755	1	no
A4GNT	A4GNT	-	chr3:137842559-137851229	undifferentiated	differentiated	NOTEST	0	0.0856167	1.79769e+308	1.79769e+308	0.0935472	1	no
AA06	AA06	-	chr17:31340105-32483825	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
AAAS	AAAS	-	chr12:53701239-53715412	undifferentiated	differentiated	OK	17.7239	5.90952	-1.58458	3.81206	0.000137812	0.00129888	yes
AACS	AACS	-	chr12:125549924-125627871	undifferentiated	differentiated	OK	5.2749	3.66025	-0.527202	1.42279	0.154796	0.279562	no
AACSP1	AACSP1	-	chr5:178191863-178203277	undifferentiated	differentiated	NOTEST	0.0554079	0.00633488	-3.1287	1.11978	0.262809	1	no
AADAC	AADAC	-	chr3:151347319-151546276	undifferentiated	differentiated	NOTEST	0	0.0272996	1.79769e+308	1.79769e+308	0.239947	1	no
AADACL2	AADACL2	-	chr3:151347319-151546276	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
AADACL3	AADACL3	-	chr1:12776117-12788726	undifferentiated	differentiated	NOTEST	0	0.0379308	1.79769e+308	1.79769e+308	0.122131	1	no
AADACL4	AADACL4	-	chr1:12704565-12727097	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
AADAT	AADAT	-	chr4:170981372-171011372	undifferentiated	differentiated	OK	8.53199	3.14101	-1.44166	3.26552	0.00109264	0.00673565	yes
AAED1	AAED1	-	chr9:99403532-99417599	undifferentiated	differentiated	OK	11.3835	10.4978	-0.116867	0.302589	0.762203	0.849545	no
AAGAB	AAGAB	-	chr15:67493366-67547074	undifferentiated	differentiated	OK	26.6321	15.2467	-0.804672	2.99303	0.00276221	0.0135753	yes
AAK1	AAK1	-	chr2:69685126-69870977	undifferentiated	differentiated	OK	1.18029	0.918329	-0.362054	1.11132	0.266429	0.414546	no
AAMP	AAMP	-	chr2:219128851-219134893	undifferentiated	differentiated	OK	21.0547	16.0097	-0.395198	1.3275	0.184345	0.318642	no
AANAT	AANAT	-	chr17:74449432-74466199	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
AAR2	AAR2	-	chr20:34824446-34844853	undifferentiated	differentiated	OK	7.67629	4.37648	-0.810641	2.21667	0.0266456	0.0761558	no
AARD	AARD	-	chr8:117950463-117956239	undifferentiated	differentiated	NOTEST	0.0873963	0.0526148	-0.732102	0.432825	0.665142	1	no
AARS	AARS	-	chr16:70286296-70323412	undifferentiated	differentiated	OK	31.3052	16.7039	-0.906217	3.56808	0.000359602	0.00284001	yes
AARS2	AARS2	-	chr6:44266462-44281063	undifferentiated	differentiated	OK	6.25222	3.79007	-0.722146	2.3022	0.0213239	0.0646991	no
AARSD1	AARSD1	-	chr17:41102542-41132545	undifferentiated	differentiated	OK	18.4556	9.75661	-0.919608	2.5398	0.0110917	0.0392608	yes
AASDH	AASDH	-	chr4:57204456-57253638	undifferentiated	differentiated	OK	3.65047	2.14861	-0.764678	1.79035	0.0733973	0.162303	no
AASDHPPT	AASDHPPT	-	chr11:105921824-105969419	undifferentiated	differentiated	OK	30.4133	14.2126	-1.09753	3.84335	0.000121367	0.00116983	yes
AASS	AASS	-	chr7:121713597-121784344	undifferentiated	differentiated	NOTEST	0.356014	0.202626	-0.813117	1.1203	0.262585	1	no
AATF	AATF	-	chr17:35306174-35414171	undifferentiated	differentiated	OK	34.9787	15.4078	-1.18281	4.32144	0.0000155015	0.000219662	yes
AATK	AATK	-	chr17:79008946-79156964	undifferentiated	differentiated	OK	1.23989	1.24763	0.00898473	-0.0161861	0.987086	0.991647	no
AATK-AS1	AATK-AS1	-	chr17:79008946-79156964	undifferentiated	differentiated	NOTEST	0.0608359	0.104342	0.778321	-0.220493	0.825487	1	no
ABAT	ABAT	-	chr16:8768443-8878432	undifferentiated	differentiated	OK	8.41085	3.3369	-1.33374	3.70473	0.000211615	0.00183658	yes
ABCA1	ABCA1	-	chr9:107543283-107690527	undifferentiated	differentiated	NOTEST	0.0493238	0.0807304	0.710827	-0.662221	0.507829	1	no
ABCA10	ABCA10	-	chr17:67144147-67323323	undifferentiated	differentiated	NOTEST	0.0142045	0.00669239	-1.08575	0.240512	0.809933	1	no
ABCA11P	ABCA11P	-	chr4:419223-533320	undifferentiated	differentiated	OK	2.43474	1.29233	-0.913793	0.977484	0.32833	0.481831	no
ABCA12	ABCA12	-	chr2:215796265-216003151	undifferentiated	differentiated	OK	2.56777	0.283636	-3.1784	4.9302	0.000000821438	0.0000197794	yes
ABCA13	ABCA13	-	chr7:48211056-48687091	undifferentiated	differentiated	NOTEST	0	0.00877044	1.79769e+308	1.79769e+308	0.108622	1	no
ABCA17P	ABCA17P	-	chr16:2390922-2476700	undifferentiated	differentiated	NOTEST	0.084112	0.0541038	-0.63658	0.462901	0.643435	1	no
ABCA2	ABCA2	-	chr9:139901685-139931234	undifferentiated	differentiated	FAIL	2.42179	1.97587	0	0	1	1	no
ABCA3	ABCA3	-	chr16:2325878-2390747	undifferentiated	differentiated	OK	11.8519	7.64717	-0.632125	2.35825	0.0183614	0.057919	no
ABCA4	ABCA4	-	chr1:94458393-94586705	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
ABCA5	ABCA5	-	chr17:67144147-67323323	undifferentiated	differentiated	OK	0.468299	0.407019	-0.202337	0.299404	0.764632	0.851042	no
ABCA6	ABCA6	-	chr17:67074846-67138015	undifferentiated	differentiated	NOTEST	0	0.00396986	1.79769e+308	1.79769e+308	0.301212	1	no
ABCA7	ABCA7	-	chr19:1040101-1065570	undifferentiated	differentiated	OK	0.356994	0.746987	1.06518	-1.70024	0.0890863	0.187051	no
ABCA8	ABCA8	-	chr17:66863430-66951533	undifferentiated	differentiated	NOTEST	0	0.00514186	1.79769e+308	1.79769e+308	0.220743	1	no
ABCA9	ABCA9	-	chr17:66970772-67057136	undifferentiated	differentiated	NOTEST	0.00694643	0.0110707	0.672405	-0.281651	0.778211	1	no
